Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2016-12-01;TK;S2;8580;8875;8728
2016-12-01;TK;S21;100888;115174;108031
2016-12-01;VLS;S3;233668;237464;235566
2016-12-01;VLS;S31;291295;295251;293273
2016-12-01;WBS;S1;139543;146392;142968
2016-12-01;WBS;S11;17826;16558;17192
2016-12-01;WCH;S1;301844;319996;310920
2016-12-01;WCH;S11;29063;32746;30905
2016-12-01;WFS;S3;223986;246086;235036
2016-12-01;WFS;S31;283938;295377;289658
2016-12-01;WL;S1;124668;121052;122860
2016-12-01;WLF;S21;45286;39797;42542
2017-01-01;ABG;S3;25997;27148;26573
2017-01-01;AH;S21;81050;79134;80092
2017-01-01;AI;S1;142595;141811;142203
2017-01-01;ALH;S2;20991;18033;19512
2017-01-01;ALH;S21;216033;233906;224970
2017-01-01;AS;S1;711918;748763;730341
2017-01-01;AS;S11;58082;76305;67194
2017-01-01;AS;S2;10771;14124;12448
2017-01-01;AS;S3;297110;328447;312779
2017-01-01;AS;S31;319686;348287;333987
2017-01-01;AW;S1;447417;461639;454528
2017-01-01;AW;S11;48517;38240;43379
2017-01-01;B;S1;478860;516028;497444
2017-01-01;B;S11;27915;30526;29221
2017-01-01;BAF;S1;553159;565596;559378
2017-01-01;BAF;S11;61988;59084;60536
2017-01-01;BAP;S1;568204;604307;586256
2017-01-01;BAP;S11;57607;69985;63796
2017-01-01;BGS;S2;12743;13555;13149
2017-01-01;BGS;S21;238226;242642;240434
2017-01-01;BTSL;S1;542957;573239;558098
2017-01-01;BTSL;S11;60102;62966;61534
2017-01-01;BTSL;S2;19923;23412;21668
2017-01-01;BTSL;S21;260852;266024;263438
2017-01-01;BTSL;S31;66864;56583;61724
2017-01-01;BWM;S2;18022;16818;17420
2017-01-01;BWM;S21;185541;185128;185335
2017-01-01;BX;S3;101874;101764;101819
2017-01-01;DR;S3;31745;28133;29939
2017-01-01;DST;S11;63415;61412;62414
2017-01-01;DST;S21;260500;268731;264616
2017-01-01;DST;S31;527997;483490;505744
2017-01-01;DT;S21;188002;175905;181954
2017-01-01;DT;S3;179620;217992;198806
2017-01-01;EGS;S21;130720;138807;134764
2017-01-01;EGS;S3;200341;205899;203120
2017-01-01;EST;S21;187945;168366;178156
2017-01-01;EST;S3;179559;201371;190465
2017-01-01;FB;S1;490061;500306;495184
2017-01-01;FB;S11;38256;40659;39458
2017-01-01;FBG;S1;551399;531724;541562
2017-01-01;FBG;S11;53017;54902;53960
2017-01-01;FIB;S3;70497;58584;64541
2017-01-01;HAB;S3;285689;273972;279831
2017-01-01;HAB;S31;395108;400940;398024
2017-01-01;HCH;S1;177823;194156;185990
2017-01-01;HCH;S11;15742;21471;18607
2017-01-01;HFS;S3;265970;275109;270540
2017-01-01;HFS;S31;120710;119720;120215
2017-01-01;HKS;S3;140329;144088;142209
2017-01-01;HOG;S3;52601;55805;54203
2017-01-01;HPS;S1;300708;335806;318257
2017-01-01;HPS;S11;33916;28255;31086
2017-01-01;HRF;S3;303205;314696;308951
2017-01-01;HRF;S31;296024;349498;322761
2017-01-01;HRS;S3;306343;294183;300263
2017-01-01;HRS;S31;402798;425368;414083
