Timestamp;Einsteiger;Aussteiger;Avg;AbwEin;AbwAus;AbwAvg
2016-12-01;19240184;19989984;19615084;-3620557;-3658098;-3639328
2017-01-01;29360655;30366639;29863647;6499914;6718557;6609235
2017-02-01;24541657;25355197;24948427;1680916;1707115;1694015
2017-03-01;18300468;18880510;18590489;-4560273;-4767572;-4663923
